[2019-04-24 21:35:04] testing-monolog.WARNING: Foo [] []
[2019-04-24 21:35:15] testing-monolog.WARNING: Foo [] []
[2019-04-30 03:11:21] testing.INFO: Handling upload [] []
[2019-04-30 03:11:35] testing.INFO: Handling upload [] []
[2019-04-30 03:11:46] testing.INFO: Handling upload [] []
[2019-04-30 03:13:53] testing.INFO: Handling upload [] []
[2019-04-30 03:16:32] testing.INFO: Handling upload [] []
[2019-04-30 03:16:44] testing.INFO: Handling upload [] []
[2019-04-30 03:17:57] testing.INFO: Handling upload [] []
[2019-04-30 03:18:21] testing.INFO: Handling upload [] []
[2019-04-30 03:19:33] testing.INFO: Handling upload [] []
[2019-04-30 03:19:51] testing.INFO: Handling upload [] []
[2019-04-30 03:20:05] testing.INFO: Handling upload [] []
[2019-04-30 03:21:36] testing.INFO: Handling upload [] []
[2019-04-30 03:21:45] testing.INFO: Handling upload [] []
[2019-04-30 03:22:05] testing.INFO: Handling upload [] []
[2019-04-30 03:24:10] testing.INFO: Handling upload [] []
[2019-04-30 03:24:27] testing.INFO: Handling upload [] []
[2019-04-30 03:25:36] testing.INFO: Handling upload [] []
[2019-04-30 03:25:48] testing.INFO: Handling upload [] []
[2019-04-30 03:25:59] testing.INFO: Handling upload [] []
[2019-04-30 03:26:13] testing.INFO: Handling upload [] []
[2019-04-30 03:44:17] testing.INFO: Handling upload [] []
[2019-04-30 03:44:27] testing.INFO: Handling upload [] []
[2019-04-30 03:47:25] testing.INFO: Handling upload [] []
[2019-04-30 03:47:49] testing.INFO: Handling upload [] []
[2019-04-30 03:47:52] testing.INFO: Handling upload [] []
[2019-04-30 03:48:01] testing.INFO: Handling upload [] []
[2019-04-30 03:48:22] testing.INFO: Handling upload [] []
[2019-04-30 03:48:24] testing.INFO: Handling upload [] []
[2019-04-30 03:48:27] testing.INFO: Handling upload [] []
[2019-04-30 03:48:48] testing.INFO: Handling upload [] []
[2019-04-30 03:50:58] testing.INFO: Handling upload [] []
[2019-04-30 03:51:16] testing.INFO: Handling upload [] []
[2019-04-30 03:51:42] testing.INFO: Handling upload [] []
[2019-04-30 03:52:16] testing.INFO: Handling upload [] []
[2019-04-30 03:55:19] testing.INFO: Handling upload [] []
[2019-04-30 03:55:30] testing.INFO: Handling upload [] []
[2019-04-30 03:55:34] testing.INFO: Handling upload [] []
[2019-04-30 03:55:47] testing.INFO: Handling upload [] []
[2019-04-30 03:55:58] testing.INFO: Handling upload [] []
[2019-04-30 03:56:16] testing.INFO: Handling upload [] []
[2019-04-30 03:58:09] testing.INFO: Handling upload [] []
[2019-04-30 03:58:25] testing.INFO: Handling upload [] []
[2019-04-30 03:58:47] testing.INFO: Handling upload [] []
[2019-04-30 03:58:55] testing.INFO: Handling upload [] []
[2019-04-30 03:59:04] testing.INFO: Handling upload [] []
[2019-04-30 04:03:49] testing.INFO: Handling upload [] []
[2019-04-30 04:03:55] testing.INFO: Handling upload [] []
